,DOWN_state
790,0.125
791,0.1000000000003638
792,0.1000000000003638
793,0.1750000000001819
794,0.2249999999994543
795,0.1749999999992724
796,0.1500000000005457
797,0.1749999999992724
798,0.2750000000005457
799,0.125
800,0.1750000000001819
801,0.125
802,0.1999999999998181
803,0.1750000000001819
804,0.0999999999994543
805,0.3000000000001819
806,0.1750000000001819
807,0.1750000000001819
808,0.125
809,0.2249999999994543
810,0.1999999999998181
811,0.2749999999996362
812,0.5249999999996362
813,0.25
814,0.2750000000005457
815,0.1499999999996362
816,0.2749999999996362
817,0.1000000000003638
818,0.3000000000001819
819,0.125
820,0.1499999999996362
821,0.1750000000001819
822,0.0999999999994543
823,0.2749999999996362
824,0.125
825,0.2249999999994543
826,0.1750000000001819
827,0.1000000000003638
828,0.25
829,0.1999999999998181
830,0.0999999999994543
831,0.1500000000005457
832,0.125
833,0.0999999999994543
834,0.2250000000003638
835,0.1000000000003638
836,0.1999999999998181
837,0.1499999999996362
838,0.2249999999994543
839,0.1000000000003638
840,0.3999999999996362
841,0.1499999999996362
842,0.3499999999994543
843,0.25
844,0.125
845,0.1999999999998181
846,0.0999999999994543
847,0.2249999999994543
848,0.2249999999994543
849,0.1000000000003638
850,0.2250000000003638
851,0.3000000000001819
852,0.125
853,0.125
854,0.1749999999992724
855,0.1000000000003638
856,0.1750000000001819
857,0.1749999999992724
858,0.1500000000005457
859,0.1999999999998181
860,0.3000000000001819
861,0.2249999999994543
862,0.1750000000001819
863,0.2750000000005457
864,0.2249999999994543
865,0.3499999999994543
866,0.1750000000001819
867,0.125
868,0.4499999999998181
869,0.125
870,0.1499999999996362
871,0.1000000000003638
872,0.2749999999996362
873,0.1999999999998181
874,0.5249999999996362
875,0.2750000000005457
876,0.125
877,0.1499999999996362
878,0.0999999999994543
879,0.2750000000005457
880,0.1499999999996362
881,0.0999999999994543
882,0.3999999999996362
883,0.125
884,0.125
885,0.1999999999998181
886,0.1999999999998181
887,0.1500000000005457
888,0.1500000000005457
889,0.1999999999998181
890,0.3000000000001819
891,0.375
892,0.4750000000003638
893,0.1999999999998181
894,0.1999999999998181
895,0.1500000000005457
896,0.1499999999996362
897,0.1500000000005457
898,0.125
899,0.125
900,0.1000000000003638
901,0.1500000000005457
902,0.25
903,0.1000000000003638
904,0.5750000000007276
905,0.1999999999998181
906,0.125
907,0.1500000000005457
908,0.2749999999996362
909,0.0999999999994543
910,0.1750000000001819
911,0.125
912,0.1500000000005457
913,0.125
914,0.125
915,0.0999999999994543
916,0.1999999999998181
917,0.125
918,0.1999999999998181
919,0.1749999999992724
920,0.1750000000001819
921,0.1000000000003638
922,0.1000000000003638
923,0.125
924,0.1000000000003638
925,0.125
926,0.125
927,0.1499999999996362
928,0.125
929,0.1750000000001819
930,0.3000000000001819
931,0.125
932,0.1999999999998181
933,0.1750000000001819
934,0.1000000000003638
935,0.0999999999994543
936,0.3000000000001819
937,0.2250000000003638
938,0.1499999999996362
939,0.1750000000001819
940,0.1000000000003638
941,0.25
942,0.0999999999994543
943,0.1000000000003638
944,0.3999999999996362
945,0.1750000000001819
946,0.125
947,0.1000000000003638
948,0.2000000000007276
949,0.125
950,0.1499999999996362
951,0.0999999999994543
952,0.125
953,0.125
954,0.1000000000003638
955,0.125
956,0.1499999999996362
957,0.125
958,0.2000000000007276
959,0.2749999999996362
960,0.1000000000003638
961,0.125
962,0.4000000000005457
963,0.125
964,0.1500000000005457
965,0.1999999999998181
966,0.1750000000001819
967,0.2249999999994543
968,0.0999999999994543
969,0.2249999999994543
970,0.1749999999992724
971,0.1000000000003638
972,0.125
973,0.1750000000001819
974,0.3000000000001819
975,0.2750000000005457
976,0.2750000000005457
977,0.25
978,0.1750000000001819
979,0.125
980,0.1499999999996362
981,0.2750000000005457
982,0.4000000000005457
983,0.2749999999996362
984,0.4499999999998181
985,0.1749999999992724
986,0.1999999999998181
987,0.1999999999998181
988,0.4250000000001819
989,0.1499999999996362
990,0.0999999999994543
991,0.1000000000003638
992,0.3000000000001819
993,0.1500000000005457
994,0.125
995,0.2000000000007276
996,0.1500000000005457
997,0.375
998,0.1000000000003638
999,0.2250000000003638
1000,0.0999999999994543
