,OF,REM,SWS
83,0.00550719727074908,0.0021762516538899475,0.005197721474893378
84,0.005058859967658928,0.00252326543882351,0.005204748076841597
85,0.005308605139204406,0.002454801385283499,0.0049619480611633356
86,0.005624532243215267,0.0030430623277786575,0.004452966060539508
87,0.005192329999217903,0.0030502333535552457,0.0045497726758359355
88,0.00571596877139001,0.0038286348053914085,0.00471850555237789
89,0.005032221151980749,0.0038344405703847175,0.00465640395470752
90,0.005276940625373381,0.003914638717374432,0.004241338083583058
91,0.004784586507809877,0.003879010566999615,0.0047087901947159205
92,0.005224962631226257,0.0046665748482882675,0.005103565813154235
93,0.00479532154615718,0.004749030163717304,0.00524542712142791
94,0.005054247660891431,0.005515114904378953,0.00552529443061718
95,0.005112219045704845,0.005231785853748327,0.004989893215909156
96,0.004707603067216496,0.004381651561554542,0.004402799969469526
97,0.005019447447320671,0.0041656591765741385,0.0046158250141635
98,0.005081876941985633,0.003830386512417877,0.004479309171805327
99,0.004682668360109674,0.0030840305400327383,0.004586775909874664
100,0.005053766579258208,0.0035740771205901756,0.004496212364697965
101,0.005382980105040853,0.0038393695016172816,0.004229065208860585
102,0.005405368185315255,0.00460323177291689,0.0044366612322894764
103,0.004773710118136799,0.0044647272889467345,0.0048303758538297695
104,0.005637906546007302,0.005337932134144123,0.004612713827440474
105,0.004604560396969319,0.005730519214684747,0.004780404888039263
106,0.004627155839925174,0.0061601694910180735,0.0047999896430902505
107,0.005494824254002846,0.005788410761204924,0.005216293321028023
108,0.005535889402499096,0.004677065753828103,0.004856004905980554
109,0.005572291765797281,0.004669084444682858,0.004307362756709113
110,0.005750759820844111,0.004359389945185533,0.004363169783232067
111,0.005536574820101293,0.005110537748664839,0.00425616034195342
112,0.005210292238885467,0.005553786824067895,0.004326118676278482
113,0.005048440464606909,0.005688007277325206,0.003552255200831561
114,0.004210270894247882,0.005482273256883917,0.0038682377460764234
115,0.0048584055390763214,0.0058657125696330095,0.0038812722861728617
116,0.004962747821154398,0.005308131633702618,0.004522266404024915
117,0.004619510944899698,0.0060182435100032084,0.005098796895655512
118,0.0047299445415634935,0.006413165184227984,0.00524647710235648
119,0.0042163484971500746,0.006131975951743592,0.004969453248538843
120,0.004114637582701817,0.005720389900949347,0.004823623778187695
121,0.004273319632738016,0.005197183587334375,0.005079921338691998
122,0.004301678622626982,0.005721978195700055,0.005796081446202197
123,0.004677790936953734,0.005409926308169736,0.0050289897337731015
124,0.003860610195081929,0.005215449555833011,0.005644993865070923
125,0.004673889191488894,0.005606976303278457,0.0050222347248877275
